fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
7,00;0.31;0.52;45474,00;0.029;5,00;61,00;0.9918;45476,00;0.43;45392,00;5,00
45451,00;0.26;0.41;45324,00;0.049;29,00;111,00;0.9941;35096,00;0.44;10,00;5,00
45419,00;0.21;0.34;45323,00;0.06;26,00;111,00;0.9931;18688,00;0.47;45483,00;6,00
45329,00;0.51;0.24;10,00;0.093;35,00;197,00;0.9981;15036,00;0.47;9,00;5,00
45419,00;0.21;0.34;45323,00;0.06;26,00;111,00;0.9931;18688,00;0.47;45483,00;6,00
45356,00;0.3;0.2;45292,00;0.077;48,00;166,00;0.9944;45354,00;0.54;45481,00;4,00
8,00;0.26;0.36;2,00;0.054;30,00;121,00;0.992;45538,00;0.72;45454,00;7,00
7,00;0.21;0.28;45419,00;0.07;45,00;185,00;0.9966;12479,00;0.55;45391,00;5,00
45479,00;0.26;0.26;4,00;0.079;35.5;216,00;0.9956;11383,00;0.68;45421,00;5,00
45479,00;0.26;0.26;45295,00;0.073;36,00;202,00;0.9956;45354,00;0.67;45421,00;5,00
45299,00;0.26;0.37;45536,00;0.072;48,00;159,00;0.9949;13575,00;0.7;45545,00;6,00
45359,00;0.22;0.38;45518,00;0.054;32,00;126,00;1.0002;44621,00;0.5;45482,00;5,00
45388,00;0.3;0.51;45417,00;0.048;62,00;172,00;0.9942;45507,00;0.45;45300,00;6,00
45419,00;0.19;0.34;45445,00;0.037;33,00;125,00;0.9923;45294,00;0.49;45302,00;7,00
45512,00;0.33;0.44;12936,00;0.024;9,00;87,00;0.9917;35096,00;0.4;45455,00;7,00
45541,00;0.2;0.36;45413,00;0.031;38,00;147,00;0.9931;12844,00;0.56;11,00;6,00
8,00;0.37;0.32;45444,00;0.04;32,00;166,00;0.992;3,00;0.55;45362,00;7,00
45359,00;0.22;0.38;45518,00;0.054;32,00;126,00;1.0002;44621,00;0.5;45482,00;5,00
45330,00;0.29;0.33;45300,00;0.036;28,00;118,00;0.9953;35096,00;0.4;45545,00;7,00
45480,00;0.34;0.3;8,00;0.048;25,00;192,00;0.9951;35462,00;0.47;45545,00;5,00
45328,00;0.55;0.45;12,00;0.049;27,00;186,00;0.9974;42795,00;0.5;45360,00;6,00
45388,00;0.4;0.19;45325,00;0.033;28,00;124,00;0.9904;44621,00;0.54;45485,00;7,00
45419,00;0.28;0.33;45480,00;0.048;42,00;180,00;0.9974;13575,00;0.59;45301,00;6,00
45511,00;0.26;0.44;45352,00;0.037;43,00;132,00;0.9944;43160,00;0.65;10,00;5,00
45418,00;0.26;0.34;45367,00;0.051;56,00;197,00;1.0004;17958,00;0.42;45513,00;5,00
45357,00;0.34;0.29;45328,00;0.046;29,00;227,00;0.9952;47178,00;0.53;45301,00;6,00
45510,00;0.15;0.33;45477,00;0.059;31,00;118,00;0.9956;15766,00;0.39;9,00;7,00
45357,00;0.27;0.25;45509,00;0.038;52,00;155,00;0.995;46813,00;0.38;45391,00;6,00
45357,00;0.27;0.25;45509,00;0.038;52,00;155,00;0.995;46813,00;0.38;45391,00;6,00
45389,00;0.2;0.37;16.95;0.048;43,00;190,00;0.9995;45354,00;0.42;45331,00;6,00
45357,00;0.23;0.21;45296,00;0.035;29,00;142,00;0.9942;13210,00;0.33;45301,00;7,00
45358,00;0.31;0.69;45332,00;0.041;58,00;160,00;0.9977;45446,00;0.45;45451,00;5,00
45327,00;0.24;0.45;45507,00;0.027;21,00;128,00;0.992;20149,00;0.49;45333,00;8,00
7,00;0.24;0.32;45352,00;0.037;39,00;123,00;0.992;42795,00;0.42;45333,00;8,00
45389,00;0.2;0.37;16.95;0.048;43,00;190,00;0.9995;45354,00;0.42;45331,00;6,00
7,00;0.17;0.33;4,00;0.034;17,00;127,00;0.9934;43525,00;0.39;45453,00;7,00
45359,00;0.21;0.58;45308,00;0.049;62,00;213,00;1.0006;45294,00;0.51;45360,00;6,00
45329,00;0.21;0.35;45426,00;0.048;35,00;178,00;0.9982;45415,00;0.47;45543,00;6,00
45298,00;0.21;0.4;45323,00;0.069;24,00;156,00;0.9928;15401,00;0.43;45453,00;6,00
45390,00;0.17;0.31;45479,00;0.038;29,00;132,00;0.9945;45294,00;0.32;45453,00;7,00
45389,00;0.24;0.31;45390,00;0.045;52,00;183,00;0.9963;45538,00;0.32;45512,00;5,00
45356,00;0.24;0.33;45352,00;0.033;25,00;97,00;0.9906;21610,00;0.38;11,00;8,00
45418,00;0.28;0.26;45512,00;0.04;44,00;139,00;0.9956;11749,00;0.37;45332,00;6,00
45357,00;0.23;0.21;45296,00;0.035;29,00;142,00;0.9942;13210,00;0.33;45301,00;7,00
45418,00;0.29;0.25;45453,00;0.039;32,00;120,00;0.9962;11383,00;0.34;45301,00;6,00
45509,00;0.29;0.21;45445,00;0.025;12,00;120,00;0.9894;14305,00;0.79;14,00;7,00
45357,00;0.27;0.25;45509,00;0.038;52,00;155,00;0.995;46813,00;0.38;45391,00;6,00
45357,00;0.17;0.42;45506,00;0.028;45,00;107,00;0.9908;46447,00;0.43;45515,00;6,00
45357,00;0.16;0.4;45444,00;0.033;59,00;148,00;0.9914;16132,00;0.53;45393,00;5,00
45542,00;0.29;0.39;45479,00;0.036;6,00;117,00;0.9938;45629,00;0.42;45483,00;5,00
45358,00;0.31;0.69;45332,00;0.041;58,00;160,00;0.9977;45446,00;0.45;45451,00;5,00
45417,00;0.32;0.45;45539,00;0.028;25,00;191,00;0.9922;18688,00;0.49;45423,00;7,00
45327,00;0.24;0.45;45507,00;0.027;21,00;128,00;0.992;20149,00;0.49;45333,00;8,00
45329,00;0.37;0.15;2,00;0.029;27,00;87,00;0.9903;45354,00;0.59;45455,00;7,00
45297,00;0.29;0.27;45474,00;0.024;13,00;76,00;0.9893;44256,00;0.51;45455,00;7,00
45331,00;0.22;0.4;45384,00;0.054;18,00;151,00;0.9952;45385,00;0.46;45360,00;4,00
45329,00;0.37;0.15;2,00;0.029;27,00;87,00;0.9903;45354,00;0.59;45455,00;7,00
8,00;0.18;0.37;45352,00;0.04;15,00;96,00;0.9912;45446,00;0.61;45303,00;6,00
45418,00;0.22;0.34;12,00;0.053;55,00;177,00;0.9983;19054,00;0.44;45544,00;6,00
45389,00;0.18;0.4;45444,00;0.047;22,00;102,00;0.9937;46813,00;0.44;45483,00;5,00
45418,00;0.52;0.17;45383,00;0.047;5,00;26,00;0.9932;46082,00;0.32;10,00;4,00
7,00;0.15;0.38;45324,00;0.047;33,00;96,00;0.9928;41334,00;0.39;45392,00;8,00
45540,00;0.415;0.13;45383,00;0.04;11,00;64,00;0.9922;47178,00;0.52;45422,00;5,00
45299,00;0.45;0.34;45359,00;0.037;33,00;216,00;0.9976;11383,00;0.64;45482,00;5,00
45509,00;0.415;0.13;45383,00;0.04;11,00;64,00;0.9922;47178,00;0.52;45422,00;5,00
45388,00;0.5;0.16;45547,00;0.042;26,00;138,00;0.9974;46813,00;0.33;9,00;5,00
45479,00;0.105;0.32;45394,00;0.051;34,00;106,00;0.998;19784,00;0.45;45331,00;6,00
6,00;0.4;0.3;45444,00;0.047;30,00;117,00;0.9931;42795,00;0.48;45301,00;6,00
45449,00;0.25;0.39;16438,00;0.04;40,00;89,00;0.9911;12844,00;0.4;45393,00;7,00
45513,00;0.36;0.45;45444,00;0.042;11,00;124,00;0.9944;34001,00;0.46;45514,00;5,00
45452,00;0.23;0.4;45413,00;0.044;19,00;135,00;0.9937;35096,00;0.49;45545,00;5,00
45357,00;0.55;0.45;13,00;0.047;33,00;182,00;0.9974;45325,00;0.46;45331,00;6,00
45418,00;0.115;0.29;34700,00;0.038;73,00;166,00;0.989;45629,00;0.25;45547,00;7,00
45388,00;0.125;0.29;31168,00;0.042;24,00;99,00;0.992;44986,00;0.32;12,00;7,00
45478,00;0.1;0.27;45352,00;0.047;21,00;100,00;0.9928;46447,00;0.46;45421,00;5,00
45542,00;0.25;0.29;45356,00;0.031;33,00;117,00;0.9918;45446,00;0.32;45515,00;7,00
45541,00;0.2;0.28;45323,00;0.048;36,00;159,00;0.9936;43525,00;0.43;45300,00;6,00
45541,00;0.23;0.34;4,00;0.047;24,00;128,00;0.9944;45325,00;0.52;45482,00;6,00
45510,00;0.39;0.31;14.35;0.043;28,00;162,00;0.9988;42795,00;0.54;45300,00;5,00
45481,00;0.22;0.42;45353,00;0.053;27,00;114,00;0.994;36192,00;0.43;10,00;5,00
45389,00;0.41;0.34;45477,00;0.042;19,00;127,00;0.9953;45717,00;0.42;45392,00;5,00
45479,00;0.25;0.34;31382,00;0.048;30,00;161,00;0.9986;16132,00;0.47;45421,00;6,00
6,00;0.26;0.42;45327,00;0.027;70,00;178,00;0.9914;45385,00;0.4;45363,00;8,00
45297,00;0.31;0.37;45390,00;0.031;70,00;170,00;0.9934;15401,00;0.4;45484,00;8,00
45331,00;0.28;0.46;45325,00;0.058;39,00;133,00;0.996;41699,00;0.58;45421,00;5,00
9,00;0.31;0.49;45541,00;0.034;26,00;91,00;0.9937;36192,00;0.34;45423,00;5,00
45420,00;0.16;0.33;1,00;0.076;17,00;57,00;0.9921;41699,00;0.46;45453,00;6,00
45360,00;0.34;0.49;45358,00;0.052;30,00;146,00;0.998;42795,00;0.61;45332,00;5,00
45331,00;0.28;0.46;45325,00;0.058;39,00;133,00;0.996;41699,00;0.58;45421,00;5,00
45329,00;0.24;0.3;45444,00;0.048;27,00;131,00;0.9933;45717,00;0.45;45422,00;5,00
45329,00;0.25;0.32;45413,00;0.047;27,00;132,00;0.9933;46082,00;0.44;45422,00;5,00
45510,00;0.32;0.18;45419,00;0.041;71,00;223,00;0.9959;41699,00;0.41;45543,00;5,00
45300,00;0.27;0.32;45292,00;0.031;15,00;151,00;0.9936;45354,00;0.41;45453,00;5,00
45543,00;0.34;0.32;45352,00;0.041;12,00;188,00;0.9953;42795,00;0.49;45421,00;5,00
7,00;0.17;0.37;45478,00;0.025;29,00;111,00;0.9938;45325,00;0.49;45514,00;6,00
45479,00;0.25;0.23;45329,00;0.038;61,00;220,00;0.9952;41699,00;0.35;45421,00;5,00
45541,00;0.32;0.17;45450,00;0.042;69,00;219,00;0.9959;41334,00;0.4;45543,00;5,00
45510,00;0.32;0.18;45419,00;0.041;71,00;223,00;0.9959;41699,00;0.41;45543,00;5,00
45297,00;0.6;0,00;45352,00;0.042;24,00;79,00;0.9937;11383,00;0.38;45391,00;4,00
45356,00;0.395;0.07;45352,00;0.035;26,00;102,00;0.992;45415,00;0.35;45453,00;6,00
45542,00;0.16;0.3;45508,00;0.037;37,00;171,00;0.9967;17227,00;0.44;9,00;4,00
45450,00;0.33;0.36;45293,00;0.034;26,00;172,00;0.9944;15401,00;0.48;45422,00;4,00
45511,00;0.3;0.29;16.85;0.054;23,00;135,00;0.9998;42430,00;0.38;9,00;6,00
45511,00;0.3;0.29;16.85;0.054;23,00;135,00;0.9998;42430,00;0.38;9,00;6,00
45478,00;0.26;0.27;45295,00;0.201;73.5;189.5;0.9942;46447,00;0.38;45391,00;6,00
45511,00;0.3;0.29;16.85;0.054;23,00;135,00;0.9998;42430,00;0.38;9,00;6,00
45419,00;0.14;0.34;45352,00;0.055;50,00;153,00;0.9945;47178,00;0.8;45452,00;6,00
45511,00;0.3;0.29;16.85;0.054;23,00;135,00;0.9998;42430,00;0.38;9,00;6,00
45449,00;0.25;0.41;45389,00;0.043;29,00;151,00;0.9946;42064,00;0.6;45332,00;7,00
45478,00;0.26;0.27;45295,00;0.201;73.5;189.5;0.9942;46447,00;0.38;45391,00;6,00
45330,00;0.23;0.49;0.9;0.057;15,00;73,00;0.9928;45476,00;0.38;45392,00;6,00
6,00;0.24;0.32;45357,00;0.03;34,00;129,00;0.9946;19054,00;0.41;45392,00;5,00
45297,00;0.45;0.27;0.8;0.039;13,00;82,00;0.9927;44986,00;0.32;45421,00;5,00
45389,00;0.23;0.43;45383,00;0.044;22,00;113,00;0.9938;44621,00;0.62;45453,00;6,00
45329,00;0.2;0.38;1,00;0.037;21,00;74,00;0.9918;44256,00;0.37;11,00;5,00
45419,00;0.14;0.34;45352,00;0.055;50,00;153,00;0.9945;47178,00;0.8;45452,00;6,00
45480,00;0.25;0.43;45416,00;0.062;20,00;115,00;0.9966;13940,00;0.5;45544,00;6,00
45330,00;0.61;0.45;45387,00;0.03;15,00;118,00;0.9954;41699,00;0.34;45452,00;5,00
45450,00;0.21;0.44;45536,00;0.036;10,00;119,00;0.9913;45294,00;0.7;45516,00;6,00
45389,00;0.22;0.33;2,00;0.045;31,00;101,00;0.9931;15401,00;0.55;45393,00;5,00
45329,00;0.26;0.26;45485,00;0.036;49,00;214,00;0.9986;15036,00;0.5;10,00;6,00
45388,00;0.25;0.41;45451,00;0.042;57,00;173,00;0.9965;3,00;0.44;45300,00;5,00
45357,00;0.32;0.35;45302,00;0.039;29,00;198,00;0.9984;13210,00;0.5;45391,00;7,00
45510,00;0.25;0.29;2,00;0.042;19,00;189,00;0.9952;16862,00;0.54;45332,00;6,00
45513,00;0.44;0.4;45506,00;0.036;35,00;167,00;0.9956;35462,00;0.39;45331,00;5,00
45329,00;0.2;0.25;45416,00;0.044;31,00;109,00;0.9949;44986,00;0.36;45391,00;5,00
45330,00;0.61;0.45;45387,00;0.03;15,00;118,00;0.9954;41699,00;0.34;45452,00;5,00
45419,00;0.42;0.45;45300,00;0.029;20,00;125,00;0.996;45629,00;0.36;45301,00;6,00
45389,00;0.22;0.33;2,00;0.045;31,00;101,00;0.9931;15401,00;0.55;45393,00;5,00
45388,00;0.26;0.3;45324,00;0.025;33,00;134,00;0.992;44256,00;0.47;45453,00;6,00
45542,00;0.46;0.32;45295,00;0.033;40,00;138,00;0.9912;43160,00;0.44;45516,00;7,00
45418,00;0.41;0.64;45515,00;0.065;65,00;225,00;0.9978;45629,00;0.51;45543,00;5,00
45419,00;0.32;0.37;45323,00;0.048;22,00;184,00;0.9938;45538,00;0.43;45360,00;5,00
45449,00;0.21;0.38;45324,00;0.026;40,00;104,00;0.9914;45717,00;0.4;45302,00;8,00
45298,00;0.21;0.3;45383,00;0.037;45,00;143,00;0.9932;41334,00;0.33;45544,00;6,00
45450,00;0.26;0.47;45444,00;0.068;5,00;55,00;0.9944;45294,00;0.45;45452,00;5,00
45450,00;0.21;0.44;45536,00;0.036;10,00;119,00;0.9913;45294,00;0.7;45516,00;6,00
45541,00;0.25;0.26;45327,00;0.024;36,00;135,00;0.9948;42430,00;0.72;45483,00;7,00
45298,00;0.26;0.32;14.45;0.074;29,00;107,00;0.998;35096,00;0.42;45331,00;6,00
45358,00;0.22;0.4;14.75;0.042;44.5;129.5;0.9998;13210,00;0.41;45300,00;7,00
45328,00;0.37;0.22;45359,00;0.025;36,00;216,00;0.9964;12114,00;0.6;45452,00;6,00
45542,00;0.22;0.45;45336,00;0.038;53,00;141,00;0.9992;45354,00;0.46;45331,00;6,00
45541,00;0.25;0.26;45327,00;0.024;36,00;135,00;0.9948;42430,00;0.72;45483,00;7,00
45358,00;0.22;0.4;14.75;0.042;44.5;129.5;0.9998;13210,00;0.41;45300,00;7,00
45298,00;0.26;0.32;14.45;0.074;29,00;107,00;0.998;35096,00;0.42;45331,00;6,00
45389,00;0.25;0.37;45541,00;0.02;14,00;93,00;0.9939;3,00;0.48;45483,00;7,00
45510,00;0.18;0.37;45413,00;0.027;37,00;93,00;0.992;45354,00;0.45;45514,00;6,00
7,00;0.17;0.37;45413,00;0.028;26,00;75,00;0.9922;45354,00;0.46;45514,00;7,00
45388,00;0.3;0.38;45511,00;0.046;35,00;192,00;0.9955;45294,00;0.37;9,00;5,00
5,00;0.33;0.16;45413,00;0.049;10,00;97,00;0.9917;17593,00;0.44;45483,00;6,00
5,00;0.33;0.16;45413,00;0.049;10,00;97,00;0.9917;17593,00;0.44;45483,00;6,00
45543,00;0.33;0.32;45413,00;0.047;11,00;200,00;0.9954;43525,00;0.46;45391,00;5,00
7,00;0.26;0.46;15.55;0.037;61,00;171,00;0.9986;34366,00;0.35;45512,00;6,00
45388,00;0.3;0.38;45511,00;0.046;35,00;192,00;0.9955;45294,00;0.37;9,00;5,00
45357,00;0.21;0.4;45474,00;0.031;48,00;134,00;0.9917;15401,00;0.49;45423,00;6,00
8,00;0.23;0.46;45413,00;0.03;30,00;125,00;0.9907;44986,00;0.47;45424,00;6,00
45331,00;0.28;0.41;1,00;0.042;14,00;59,00;0.9922;35096,00;0.25;45422,00;6,00
45358,00;0.27;0.39;45479,00;0.064;28,00;188,00;0.9958;47178,00;0.3;45482,00;5,00
45450,00;0.32;0.36;45444,00;0.04;32,00;155,00;0.993;44986,00;0.52;45362,00;6,00
5,00;0.33;0.16;45413,00;0.049;10,00;97,00;0.9917;17593,00;0.44;45483,00;6,00
45482,00;0.24;0.45;45323,00;0.033;11,00;59,00;0.9926;27061,00;0.47;45514,00;6,00
8,00;0.28;0.42;45298,00;0.045;41,00;169,00;0.9959;42795,00;0.43;45453,00;5,00
45330,00;0.37;0.36;1,00;0.034;17,00;93,00;0.9906;45385,00;0.32;45484,00;8,00
8,00;0.61;0.38;45303,00;0.301;24,00;220,00;0.9993;34366,00;0.48;45331,00;5,00
45329,00;0.26;0.44;45298,00;0.027;25,00;126,00;0.993;45325,00;0.34;45302,00;8,00
45330,00;0.37;0.36;1,00;0.034;17,00;93,00;0.9906;45385,00;0.32;45484,00;8,00
45388,00;0.23;0.33;42005,00;0.044;45427,00;217.5;0.992;12114,00;0.44;11,00;6,00
45540,00;0.4;0.32;6,00;0.034;50,00;127,00;0.992;18688,00;0.58;45424,00;7,00
45450,00;0.28;0.39;45323,00;0.038;21,00;115,00;0.994;42430,00;0.67;10,00;6,00
8,00;0.28;0.42;45298,00;0.045;41,00;169,00;0.9959;42795,00;0.43;45453,00;5,00
45329,00;0.23;0.39;45353,00;0.033;29,00;102,00;0.9908;46082,00;0.54;45363,00;7,00
45510,00;0.32;0.37;45385,00;0.023;19,00;87,00;0.9902;41699,00;0.53;45485,00;6,00
45329,00;0.23;0.39;45353,00;0.033;29,00;102,00;0.9908;46082,00;0.54;45363,00;7,00
45541,00;0.18;0.38;45418,00;0.039;20,00;110,00;0.9943;45294,00;0.42;45422,00;5,00
45391,00;0.26;0.53;45323,00;0.047;25,00;109,00;0.9921;44986,00;0.28;45424,00;6,00
45359,00;0.33;0.42;42005,00;0.033;18,00;96,00;0.9911;45325,00;0.32;45394,00;3,00
45358,00;0.29;0.3;13,00;0.043;46,00;238,00;0.9986;45446,00;0.41;45481,00;6,00
45542,00;0.41;0.37;45416,00;0.03;40,00;114,00;0.992;42795,00;0.54;45394,00;7,00
45542,00;0.44;0.37;31168,00;0.033;27,00;93,00;0.992;42430,00;0.54;45455,00;7,00
45480,00;0.39;0.3;45327,00;0.037;29,00;131,00;0.9943;13940,00;0.44;11,00;6,00
45480,00;0.26;0.31;45352,00;0.043;47,00;155,00;0.9937;15401,00;0.5;45301,00;6,00
45511,00;0.32;0.31;45474,00;0.036;46,00;195,00;0.993;45354,00;0.48;45422,00;5,00
45510,00;0.32;0.37;45385,00;0.023;19,00;87,00;0.9902;41699,00;0.53;45485,00;6,00
45358,00;0.24;0.39;45446,00;0.024;35,00;116,00;0.9928;42795,00;0.51;45545,00;5,00
45298,00;0.44;0.37;45475,00;0.041;35,00;128,00;0.9896;45476,00;0.43;45425,00;7,00
45361,00;0.25;0.48;45324,00;0.042;28,00;164,00;0.998;43525,00;0.59;45482,00;5,00
45542,00;0.14;0.28;45505,00;0.041;44,00;178,00;0.9954;16497,00;0.43;45331,00;6,00
45389,00;0.18;0.42;45293,00;0.036;33,00;187,00;0.9938;45385,00;0.41;45453,00;7,00
45299,00;0.43;0.42;45449,00;0.033;36,00;141,00;0.9918;35827,00;0.39;45364,00;7,00
45298,00;0.44;0.37;45475,00;0.041;35,00;128,00;0.9896;45476,00;0.43;45425,00;7,00
45388,00;0.26;0.22;45296,00;0.037;23,00;131,00;0.9944;47178,00;0.32;45301,00;5,00
8,00;0.66;0.72;17.55;0.042;62,00;233,00;0.9999;33635,00;0.68;45391,00;4,00
8,00;0.2;0.4;45327,00;0.055;41,00;167,00;0.9953;43160,00;0.4;45453,00;7,00
45329,00;0.21;0.34;45292,00;0.046;25,00;80,00;0.992;45717,00;0.4;45362,00;6,00
45329,00;0.18;0.31;45292,00;0.045;20,00;73,00;0.9925;11749,00;0.4;45514,00;7,00
45390,00;0.57;0.44;45483,00;0.051;46,00;195,00;0.9981;42064,00;0.51;45392,00;5,00
45356,00;0.26;0.23;42125,00;0.034;48,00;160,00;0.9952;30011,00;0.51;45422,00;7,00
45478,00;0.245;0.33;45292,00;0.049;28,00;150,00;0.9927;41334,00;0.42;45360,00;5,00
45448,00;0.245;0.32;45292,00;0.047;24,00;152,00;0.9927;45629,00;0.42;45360,00;6,00
45358,00;0.25;0.41;45505,00;0.037;52,00;165,00;0.9911;47178,00;0.39;45334,00;7,00
7,00;0.16;0.73;1,00;0.138;58,00;150,00;0.9936;45507,00;0.3;45331,00;5,00
45388,00;0.22;0.34;45505,00;0.057;29,00;104,00;0.9959;29646,00;0.57;45361,00;6,00
45358,00;0.18;0.65;45383,00;0.046;28,00;157,00;0.9946;12114,00;0.62;45391,00;6,00
45388,00;0.17;0.27;45479,00;0.036;88,00;223,00;0.9948;46813,00;0.35;45332,00;6,00
45541,00;0.29;0.16;45510,00;0.034;65,00;212,00;0.9955;45507,00;0.39;9,00;6,00
45328,00;0.21;0.38;45510,00;0.036;64,00;245,00;0.9951;45446,00;0.36;45360,00;6,00
45388,00;0.23;0.3;45298,00;0.037;63,00;236,00;0.9952;45446,00;0.34;45331,00;6,00
45358,00;0.19;0.68;45413,00;0.05;31,00;156,00;0.9946;11749,00;0.64;45391,00;6,00
45358,00;0.18;0.65;45383,00;0.046;28,00;157,00;0.9946;12114,00;0.62;45391,00;6,00
45452,00;0.29;0.46;16438,00;0.039;77.5;223,00;0.9944;33635,00;0.46;45421,00;6,00
45329,00;0.14;0.35;45323,00;0.036;15,00;73,00;0.9938;16862,00;0.39;45544,00;5,00
45541,00;0.31;0.34;45389,00;0.059;36,00;174,00;0.9963;16862,00;0.62;45302,00;7,00
45419,00;0.28;0.34;45326,00;0.028;36,00;116,00;0.991;36192,00;0.41;45363,00;8,00
8,00;0.22;0.42;45457,00;0.044;45,00;163,00;1.0003;44256,00;0.69;45451,00;7,00
45450,00;0.31;0.29;45422,00;0.04;21,00;145,00;0.9966;45385,00;0.35;45391,00;5,00
45390,00;0.35;0.56;45517,00;0.048;55,00;190,00;0.9993;45476,00;0.58;45391,00;6,00
8,00;0.22;0.42;45457,00;0.044;45,00;163,00;1.0003;44256,00;0.69;45451,00;7,00
45299,00;0.5;0.47;45292,00;0.037;23,00;126,00;0.9938;44256,00;0.42;45545,00;5,00
7,00;0.39;0.31;45356,00;0.169;32,00;162,00;0.9965;45325,00;0.48;45391,00;5,00
45299,00;0.5;0.47;45292,00;0.037;23,00;126,00;0.9938;44256,00;0.42;45545,00;5,00
45390,00;0.35;0.56;45517,00;0.048;55,00;190,00;0.9993;45476,00;0.58;45391,00;6,00
45328,00;0.22;0.27;45413,00;0.064;20,00;132,00;0.9938;44621,00;0.46;45331,00;6,00
8,00;0.22;0.42;45457,00;0.044;45,00;163,00;1.0003;44256,00;0.69;45451,00;7,00
45450,00;0.31;0.29;45422,00;0.04;21,00;145,00;0.9966;45385,00;0.35;45391,00;5,00
7,00;0.24;0.36;45539,00;0.083;10,00;133,00;0.9942;12114,00;0.37;45514,00;6,00
45449,00;0.27;0.3;45536,00;0.025;14,00;153,00;0.9928;47178,00;0.62;45422,00;6,00
45511,00;0.16;0.41;45474,00;0.026;29,00;140,00;0.991;45325,00;0.78;45424,00;6,00
45480,00;0.27;0.34;45505,00;0.028;26,00;168,00;0.9911;36192,00;0.48;45303,00;7,00
45389,00;0.31;0.74;45483,00;0.039;51,00;147,00;0.9977;45325,00;0.43;45481,00;5,00
8,00;0.45;0.36;45512,00;0.026;50,00;151,00;0.9927;45476,00;0.25;45485,00;8,00
45480,00;0.27;0.34;45505,00;0.028;26,00;168,00;0.9911;36192,00;0.48;45303,00;7,00
45511,00;0.16;0.41;45474,00;0.026;29,00;140,00;0.991;45325,00;0.78;45424,00;6,00
45449,00;0.16;0.29;45505,00;0.05;40,00;147,00;0.9912;45446,00;0.44;45393,00;7,00
45359,00;0.21;0.4;45444,00;0.032;35,00;110,00;0.9907;45325,00;0.6;45547,00;7,00
45329,00;0.32;0.33;45383,00;0.029;29,00;109,00;0.9902;42064,00;0.51;45516,00;7,00
45449,00;0.16;0.3;45444,00;0.034;15,00;78,00;0.992;13940,00;0.44;45333,00;6,00
45390,00;0.16;0.33;45413,00;0.033;16,00;98,00;0.994;41699,00;0.42;45482,00;6,00
45419,00;0.23;0.32;45331,00;0.038;54,00;191,00;0.9966;45385,00;0.56;45482,00;6,00
45328,00;0.17;0.3;45292,00;0.037;14,00;79,00;0.993;45415,00;0.54;45361,00;6,00
45541,00;0.39;0.22;45355,00;0.03;10,00;102,00;0.993;3,00;0.87;45454,00;4,00
45541,00;0.41;0.22;45326,00;0.031;10,00;102,00;0.993;3,00;0.86;45454,00;4,00
45419,00;0.23;0.32;45331,00;0.038;54,00;191,00;0.9966;45385,00;0.56;45482,00;6,00
45419,00;0.38;0.33;5,00;0.045;30,00;131,00;0.9942;11749,00;0.44;45545,00;6,00
45358,00;0.42;0.38;45510,00;0.045;29,00;122,00;0.9925;43525,00;0.37;45455,00;7,00
45358,00;0.34;0.39;45327,00;0.04;45,00;163,00;0.9925;45354,00;0.47;45394,00;6,00
45511,00;0.23;0.28;27485,00;0.042;45,00;166,00;0.9928;35096,00;0.4;45423,00;5,00
9,00;0.245;0.38;45540,00;0.045;52,00;159,00;0.995;34001,00;0.35;45332,00;6,00
45541,00;0.2;0.4;45480,00;0.032;51,00;176,00;0.9939;44621,00;0.27;45393,00;5,00
45389,00;0.19;0.42;45388,00;0.067;39,00;212,00;0.9958;45354,00;0.33;45452,00;6,00
45330,00;0.2;0.36;45299,00;0.035;60,00;163,00;0.9952;45415,00;0.3;45361,00;6,00
8,00;0.59;0.71;17.35;0.038;61,00;228,00;1,00;34731,00;0.75;45360,00;5,00
45542,00;0.14;0.45;45505,00;0.05;17,00;114,00;0.9948;12114,00;0.49;45483,00;7,00
45510,00;0.24;0.4;45505,00;0.047;34,00;105,00;0.99;41334,00;0.49;45516,00;8,00
45482,00;0.14;0.59;45413,00;0.049;23,00;142,00;0.9958;35827,00;0.62;45421,00;5,00
45331,00;0.15;0.68;45444,00;0.046;22,00;130,00;0.9948;45325,00;0.45;45392,00;6,00
45391,00;0.17;0.55;45444,00;0.049;14,00;94,00;0.9949;45325,00;0.61;45361,00;6,00
45327,00;0.365;0.08;45425,00;0.041;37,00;142,00;0.997;16862,00;0.39;45544,00;6,00
45357,00;0.23;0.22;27454,00;0.039;37,00;116,00;0.9927;44986,00;0.5;45483,00;6,00
45452,00;0.25;0.54;45352,00;0.04;16,00;160,00;0.9938;34366,00;0.43;45422,00;5,00
45331,00;0.32;0.42;45352,00;0.046;14,00;186,00;0.9949;45507,00;0.48;45452,00;5,00
45388,00;0.31;0.4;45328,00;0.04;46,00;169,00;0.9953;42064,00;0.46;45360,00;6,00
45299,00;0.2;0.36;45482,00;0.044;63,00;162,00;0.997;45294,00;0.46;10,00;6,00
45542,00;0.255;0.26;2,00;0.026;40,00;190,00;0.9932;45385,00;0.39;45333,00;6,00
7,00;0.15;0.34;45383,00;0.039;21,00;177,00;0.9927;11749,00;0.62;45514,00;5,00
45388,00;0.15;0.31;45292,00;0.044;25,00;96,00;0.9932;19784,00;0.51;45361,00;6,00
